Title,Price,Sales,Revenue,Review Count,Seller,URL,_pt
Personalized Custom Shape Acrylic Ornament - Christmas Gift,25.43,143,3636.49,15,Brand959,https://www.amazon.com/dp/B039525643,acrylic-ornament
Acrylic Ornament,22.37,295,6599.15,25,Brand775,https://www.amazon.com/dp/B042191436,acrylic-ornament
Custom acrylic ornament - Anniversary Gift,17.77,254,4513.58,19,Brand735,https://www.amazon.com/dp/B059521572,acrylic-ornament
Custom acrylic ornament - Memorial Gift,20.87,70,1460.9,13,Brand198,https://www.amazon.com/dp/B083356578,acrylic-ornament
Personalized Custom Shape Acrylic Ornament,24.17,113,2731.21,9,Brand502,https://www.amazon.com/dp/B030820470,acrylic-ornament
Custom Custom Shape Acrylic Ornament - Memorial Gift,26.39,203,5357.17,21,Brand316,https://www.amazon.com/dp/B042894678,acrylic-ornament
Custom Shape Acrylic Ornament - Memorial Gift,14.25,28,399.0,5,Brand372,https://www.amazon.com/dp/B015313528,acrylic-ornament
Personalized acrylic ornament gift - Graduation Gift,15.62,30,468.6,5,Brand678,https://www.amazon.com/dp/B049695651,acrylic-ornament
Personalized acrylic ornament gift,23.36,138,3223.68,9,Brand738,https://www.amazon.com/dp/B011422499,acrylic-ornament
Acrylic Ornament - Anniversary Gift,20.82,370,7703.4,59,Brand677,https://www.amazon.com/dp/B085295173,acrylic-ornament
Personalized acrylic ornament gift - Mother's Day Gift,14.23,449,6389.27,111,Brand700,https://www.amazon.com/dp/B088562081,acrylic-ornament
Custom Shape Acrylic Ornament - Housewarming Gift,19.45,269,5232.05,46,Brand665,https://www.amazon.com/dp/B094492481,acrylic-ornament
Custom Custom Shape Acrylic Ornament,21.11,368,7768.48,32,Brand409,https://www.amazon.com/dp/B077204847,acrylic-ornament
Custom Shape Acrylic Ornament,15.26,147,2243.22,27,Brand703,https://www.amazon.com/dp/B027272904,acrylic-ornament
Custom acrylic ornament,18.51,183,3387.33,14,Brand257,https://www.amazon.com/dp/B036947776,acrylic-ornament
Custom acrylic ornament,17.71,82,1452.22,19,Brand604,https://www.amazon.com/dp/B033813784,acrylic-ornament
Custom Shape Acrylic Ornament - Anniversary Gift,19.07,217,4138.19,44,Brand620,https://www.amazon.com/dp/B044048621,acrylic-ornament
Custom acrylic ornament - Housewarming Gift,23.19,218,5055.42,54,Brand893,https://www.amazon.com/dp/B013477987,acrylic-ornament
Personalized Custom Shape Acrylic Ornament,17.48,368,6432.64,47,Brand286,https://www.amazon.com/dp/B040454034,acrylic-ornament
Custom acrylic ornament - Father's Day Gift,18.3,79,1445.7,11,Brand269,https://www.amazon.com/dp/B076695399,acrylic-ornament
Personalized acrylic ornament gift,21.05,102,2147.1,13,Brand686,https://www.amazon.com/dp/B046301896,acrylic-ornament
Personalized Custom Shape Acrylic Ornament - Valentine's Day Gift,19.62,73,1432.26,5,Brand472,https://www.amazon.com/dp/B052140826,acrylic-ornament
Custom Shape Acrylic Ornament - Father's Day Gift,21.48,826,17742.48,172,Brand290,https://www.amazon.com/dp/B091684440,acrylic-ornament
Acrylic Ornament - Housewarming Gift,19.66,165,3243.9,12,Brand121,https://www.amazon.com/dp/B094941853,acrylic-ornament
Acrylic Ornament - Anniversary Gift,20.87,35,730.45,1,Brand176,https://www.amazon.com/dp/B024574741,acrylic-ornament
