date,entity,entity_type,value
2024-08-26,acrylic-ornament,product_type,72.9
2024-09-02,acrylic-ornament,product_type,77.9
2024-09-09,acrylic-ornament,product_type,71.5
2024-09-16,acrylic-ornament,product_type,74.1
2024-09-23,acrylic-ornament,product_type,75.2
2024-09-30,acrylic-ornament,product_type,80.2
2024-10-07,acrylic-ornament,product_type,107.0
2024-10-14,acrylic-ornament,product_type,104.4
2024-10-21,acrylic-ornament,product_type,107.2
2024-10-28,acrylic-ornament,product_type,104.0
2024-11-04,acrylic-ornament,product_type,173.4
2024-11-11,acrylic-ornament,product_type,169.7
2024-11-18,acrylic-ornament,product_type,171.0
2024-11-25,acrylic-ornament,product_type,173.4
2024-12-02,acrylic-ornament,product_type,210.9
2024-12-09,acrylic-ornament,product_type,208.8
2024-12-16,acrylic-ornament,product_type,209.0
2024-12-23,acrylic-ornament,product_type,214.3
2024-12-30,acrylic-ornament,product_type,211.3
2025-01-06,acrylic-ornament,product_type,171.2
2025-01-13,acrylic-ornament,product_type,180.1
2025-01-20,acrylic-ornament,product_type,172.1
2025-01-27,acrylic-ornament,product_type,170.4
2025-02-03,acrylic-ornament,product_type,116.4
2025-02-10,acrylic-ornament,product_type,111.7
2025-02-17,acrylic-ornament,product_type,115.6
2025-02-24,acrylic-ornament,product_type,120.2
2025-03-03,acrylic-ornament,product_type,81.1
2025-03-10,acrylic-ornament,product_type,85.4
2025-03-17,acrylic-ornament,product_type,90.3
2025-03-24,acrylic-ornament,product_type,88.2
2025-03-31,acrylic-ornament,product_type,86.0
2025-04-07,acrylic-ornament,product_type,87.6
2025-04-14,acrylic-ornament,product_type,80.4
2025-04-21,acrylic-ornament,product_type,82.2
2025-04-28,acrylic-ornament,product_type,86.3
2025-05-05,acrylic-ornament,product_type,83.8
2025-05-12,acrylic-ornament,product_type,85.2
2025-05-19,acrylic-ornament,product_type,78.8
2025-05-26,acrylic-ornament,product_type,85.5
2025-06-02,acrylic-ornament,product_type,82.6
2025-06-09,acrylic-ornament,product_type,80.2
2025-06-16,acrylic-ornament,product_type,83.4
2025-06-23,acrylic-ornament,product_type,83.6
2025-06-30,acrylic-ornament,product_type,88.9
2025-07-07,acrylic-ornament,product_type,84.8
2025-07-14,acrylic-ornament,product_type,81.6
2025-07-21,acrylic-ornament,product_type,81.2
2025-07-28,acrylic-ornament,product_type,84.4
2025-08-04,acrylic-ornament,product_type,81.6
2025-08-11,acrylic-ornament,product_type,83.8
2025-08-18,acrylic-ornament,product_type,85.5
2025-08-25,acrylic-ornament,product_type,85.3
2025-09-01,acrylic-ornament,product_type,96.0
2025-09-08,acrylic-ornament,product_type,91.9
2025-09-15,acrylic-ornament,product_type,87.0
2025-09-22,acrylic-ornament,product_type,89.7
2025-09-29,acrylic-ornament,product_type,95.1
2025-10-06,acrylic-ornament,product_type,127.3
2025-10-13,acrylic-ornament,product_type,125.8
2025-10-20,acrylic-ornament,product_type,135.8
2025-10-27,acrylic-ornament,product_type,132.9
2025-11-03,acrylic-ornament,product_type,203.1
2025-11-10,acrylic-ornament,product_type,204.7
2025-11-17,acrylic-ornament,product_type,203.9
2025-11-24,acrylic-ornament,product_type,201.6
2025-12-01,acrylic-ornament,product_type,255.1
2025-12-08,acrylic-ornament,product_type,255.4
2025-12-15,acrylic-ornament,product_type,247.7
2025-12-22,acrylic-ornament,product_type,255.2
2025-12-29,acrylic-ornament,product_type,256.4
2026-01-05,acrylic-ornament,product_type,208.6
2026-01-12,acrylic-ornament,product_type,216.5
2026-01-19,acrylic-ornament,product_type,216.9
2026-01-26,acrylic-ornament,product_type,210.5
2026-02-02,acrylic-ornament,product_type,136.0
2026-02-09,acrylic-ornament,product_type,136.1
2026-02-16,acrylic-ornament,product_type,135.7
2026-02-23,acrylic-ornament,product_type,135.2
2026-03-02,acrylic-ornament,product_type,103.9
2026-03-09,acrylic-ornament,product_type,108.6
2026-03-16,acrylic-ornament,product_type,107.7
2026-03-23,acrylic-ornament,product_type,105.7
2026-03-30,acrylic-ornament,product_type,96.5
2026-04-06,acrylic-ornament,product_type,90.7
2026-04-13,acrylic-ornament,product_type,99.8
2026-04-20,acrylic-ornament,product_type,101.8
2026-04-27,acrylic-ornament,product_type,98.9
2026-05-04,acrylic-ornament,product_type,95.7
2026-05-11,acrylic-ornament,product_type,101.0
2026-05-18,acrylic-ornament,product_type,99.5
2026-05-25,acrylic-ornament,product_type,101.0
2026-06-01,acrylic-ornament,product_type,92.3
2026-06-08,acrylic-ornament,product_type,99.2
